met_day,VPD_mean,VPD_max,VPD_min,air_temperature_mean,air_temperature_max,air_temperature_min,dewpoint_mean,dewpoint_max,dewpoint_min,wetb_temp_mean,wetb_temp_max,wetb_temp_min,rltv_hum_mean,rltv_hum_max,rltv_hum_min,msl_pressure_mean,stn_pres_mean,alt_pres_mean,wind_speed_mean,wind_speed_max,visibility_mean,visibility_min,q10mnt_mxgst_spd_max,cs_hr_sun_dur_sum,wmo_hr_sun_dur_sum,drv_hr_sun_dur_sum,snow_depth_max,air_temperature_q_max,dewpoint_q_max,wetb_temp_q_max,msl_pressure_q_max,stn_pres_q_max,alt_pres_q_max,wind_direction_q_max,wind_speed_q_max,visibility_q_max,q10mnt_mxgst_spd_q_max,cs_hr_sun_dur_q_max,wmo_hr_sun_dur_q_max,drv_hr_sun_dur_q_max,snow_depth_q_max,ground_state_id_q_max,VPD_hourly_mean,VPD_hourly_max,VPD_hourly_min,wind_direction_circmean,ground_state_id_mode,station_count
2013-01-01,178.175,339.46,88.7,5.528,8.125,3.5,2.361,6.425,0.788,4.262,7.388,2.7,80.384,90.65,66.175,1007.86,998.547,1007.354,8.308,11.0,3362.5,1250.0,,0.0,0.688,2.338,,6.0,6.0,6.0,6.0,6.0,1.0,6.0,6.0,6.0,,,6.0,1.0,,6.0,178.175,339.46,88.7,263.965,1.5,8
2013-01-02,84.536,171.419,38.886,6.169,9.838,2.65,4.819,8.675,1.45,5.591,9.25,2.238,91.146,95.3,82.725,1023.293,1013.871,1022.688,5.642,8.8,2003.229,690.0,,0.0,0.0,0.1,,6.0,6.0,6.0,6.0,6.0,1.0,6.0,6.0,6.0,,,6.0,1.0,,6.0,84.536,171.419,38.886,247.841,1.5,8
2013-01-03,112.873,166.484,49.468,10.207,10.988,9.125,8.806,9.212,8.388,9.518,10.025,8.775,91.143,95.838,87.462,1032.775,1023.381,1032.333,8.825,11.6,2127.708,827.5,,0.0,0.0,0.112,,6.0,6.0,6.0,6.0,6.0,1.0,6.0,6.0,6.0,,,6.0,1.0,,6.0,112.873,166.484,49.468,260.181,1.5,8
2013-01-04,190.897,262.648,104.275,9.3,10.2,8.1,6.695,7.938,5.588,8.087,9.112,7.35,83.867,90.8,77.725,1037.326,1027.858,1036.917,7.783,10.2,2443.333,760.0,,0.0,0.0,0.225,,6.0,6.0,6.0,6.0,6.0,1.0,6.0,6.0,6.0,,,6.0,1.0,,6.0,190.897,262.648,104.275,266.571,1.0,8
2013-01-05,91.43,183.169,26.579,8.818,10.188,7.188,7.608,8.75,6.5,8.243,9.238,6.888,92.294,97.575,85.6,1035.282,1025.818,1034.833,6.042,9.4,1604.271,295.0,,0.0,0.0,0.075,,6.0,6.0,6.0,6.0,6.0,1.0,6.0,6.0,6.0,,,6.0,1.0,,6.0,91.43,183.169,26.579,237.846,1.5,8
2013-01-06,36.275,87.402,14.508,7.131,8.162,5.862,6.608,7.388,5.475,6.893,7.725,5.712,96.529,98.538,92.088,1032.301,1022.804,1031.749,3.275,6.0,469.896,25.0,,0.0,0.0,0.162,,6.0,6.0,6.0,6.0,6.0,1.0,6.0,6.0,6.0,,,6.0,1.0,,6.0,36.275,87.402,14.508,175.319,1.5,8
2013-01-07,86.721,130.4,44.52,7.656,8.612,6.788,6.414,7.025,5.675,7.087,7.812,6.388,91.938,95.6,88.512,1026.938,1017.511,1026.396,6.25,8.2,1002.917,560.0,19.0,0.0,0.0,0.05,,6.0,6.0,6.0,6.0,6.0,1.0,6.0,6.0,6.0,6.0,,6.0,1.0,,6.0,86.721,130.4,44.52,200.526,1.5,8
2013-01-08,156.256,244.911,51.029,9.517,10.625,8.412,7.472,8.3,6.562,8.538,9.2,7.562,87.128,95.562,81.075,1024.261,1014.908,1023.646,7.075,9.2,1762.396,415.0,,0.0,0.088,0.375,,6.0,6.0,6.0,6.0,6.0,1.0,6.0,6.0,6.0,,,6.0,1.0,,6.0,156.256,244.911,51.029,220.426,1.5,8
2013-01-09,93.359,287.037,21.223,6.76,8.812,1.725,5.299,8.375,1.225,6.132,8.625,1.525,90.881,97.675,73.938,1021.311,1011.906,1020.824,4.858,7.6,1098.75,260.0,,0.0,0.4,0.85,,6.0,6.0,6.0,6.0,6.0,1.0,6.0,6.0,6.0,,,6.0,1.0,,6.0,93.359,287.037,21.223,146.776,1.5,8
2013-01-10,61.546,100.438,30.243,1.722,2.862,-0.087,0.407,1.338,-0.962,1.251,2.238,-0.362,91.316,95.488,86.362,1015.95,1006.436,1015.5,3.775,6.0,567.083,42.5,,0.0,0.0,0.038,,6.0,6.0,6.0,6.0,6.0,1.0,6.0,6.0,6.0,,,6.0,1.0,,6.0,61.546,100.438,30.243,251.897,1.5,8
2013-01-11,63.636,194.179,20.73,2.282,5.738,0.1,1.09,2.725,-0.438,1.816,4.438,-0.1,92.03,96.925,79.75,1017.738,1008.211,1017.167,2.658,5.0,518.438,252.5,,0.0,0.288,1.062,,6.0,6.0,6.0,6.0,6.0,1.0,6.0,6.0,6.0,,,6.0,1.0,,6.0,63.636,194.179,20.73,266.185,1.5,8
2013-01-12,166.139,352.495,64.706,3.175,4.312,1.288,-0.334,1.463,-3.3,1.926,2.662,0.737,79.026,91.175,57.575,1012.903,1003.442,1012.417,9.692,12.8,1464.688,527.5,,0.0,0.0,0.038,,6.0,6.0,6.0,6.0,6.0,1.0,6.0,6.0,6.0,,,6.0,1.0,,6.0,166.139,352.495,64.706,95.561,1.5,8
2013-01-13,164.677,214.401,114.462,1.529,2.925,-0.025,-2.103,0.2,-3.462,0.227,1.912,-1.225,76.095,83.575,69.862,1018.943,1009.386,1018.707,6.375,8.8,1576.458,835.0,15.0,0.0,0.138,0.375,,6.0,6.0,6.0,6.0,6.0,1.0,6.0,6.0,6.0,6.0,,6.0,1.0,,6.0,164.677,214.401,114.462,18.927,1.0,8
2013-01-14,65.818,134.917,23.873,0.588,2.412,-0.65,-0.805,1.05,-2.988,0.065,1.838,-1.212,89.661,96.362,78.812,1011.592,1002.075,1011.104,5.708,9.8,1147.604,315.0,,0.0,0.0,0.112,0.0,6.0,6.0,6.0,6.0,6.0,1.0,6.0,6.0,6.0,,,6.0,1.0,10006.0,6.0,65.818,134.917,23.873,233.031,11.0,8
2013-01-15,96.7,141.334,51.709,0.845,1.888,-1.625,-1.251,-0.388,-2.888,0.09,0.888,-2.075,85.427,91.475,79.762,1009.219,999.729,1008.771,7.525,13.2,1714.583,825.0,26.0,0.0,0.088,0.488,,6.0,6.0,6.0,6.0,6.0,1.0,6.0,6.0,6.0,6.0,,6.0,1.0,,6.0,96.7,141.334,51.709,340.457,7.0,8
2013-01-16,52.196,98.94,27.092,-2.034,-0.712,-3.388,-2.874,-1.871,-4.614,-2.263,-1.043,-3.8,90.474,94.943,82.886,1013.439,1003.8,1012.896,2.667,4.4,348.125,100.0,,0.0,0.15,0.838,,6.0,6.0,6.0,6.0,6.0,1.0,6.0,6.0,6.0,,,6.0,1.0,,6.0,52.196,98.94,27.092,100.077,7.5,8
2013-01-17,123.054,245.48,40.24,-0.524,2.857,-4.271,-3.218,-1.329,-5.486,-1.459,1.157,-4.657,80.775,91.8,66.757,1017.467,1007.851,1016.917,2.635,6.5,1447.083,393.333,,0.0,0.075,1.212,,6.0,6.0,6.0,6.0,6.0,1.0,6.0,6.0,6.0,,,6.0,1.0,,6.0,123.054,245.48,40.24,91.206,7.5,8
2013-01-18,98.044,192.269,46.63,-0.921,1.1,-2.143,-3.033,-2.4,-3.929,-1.688,-0.329,-2.557,83.432,91.371,71.071,1003.946,994.432,1003.333,9.095,11.6,823.333,93.333,18.0,0.0,0.0,0.012,6.5,6.0,6.0,6.0,6.0,6.0,1.0,6.0,6.0,6.0,6.0,,6.0,1.0,5006.0,6.0,98.044,192.269,46.63,102.848,16.0,8
2013-01-19,86.011,133.31,56.075,-0.118,0.55,-0.75,-2.0,-0.925,-3.5,-0.815,0.0,-1.6,85.869,90.975,77.462,997.34,987.917,997.0,7.833,10.2,656.146,382.5,16.0,0.0,0.0,0.0,5.5,6.0,6.0,6.0,6.0,6.0,1.0,6.0,6.0,6.0,6.0,,6.0,1.0,6.0,6.0,86.011,133.31,56.075,59.107,12.5,8
2013-01-20,64.654,143.579,27.494,-1.01,-0.525,-1.65,-2.308,-1.029,-3.871,-1.46,-0.686,-2.157,88.706,95.3,75.586,995.044,985.633,994.667,6.233,9.2,458.958,160.0,16.0,0.0,0.0,0.038,5.5,6.0,6.0,6.0,6.0,6.0,1.0,6.0,6.0,6.0,6.0,,6.0,1.0,6.0,6.0,64.654,143.579,27.494,19.25,12.5,8
2013-01-21,73.258,160.961,28.87,-0.614,1.075,-2.238,-2.107,-1.4,-3.557,-1.146,0.129,-2.771,87.918,94.914,76.029,994.664,985.253,994.042,3.192,4.4,777.396,355.0,,0.0,0.05,0.412,5.5,6.0,6.0,6.0,6.0,6.0,1.0,6.0,6.0,6.0,,,6.0,1.0,1006.0,1006.0,73.258,160.961,28.87,203.186,15.0,8
2013-01-22,87.038,207.165,15.132,-0.551,1.875,-4.488,-2.01,0.7,-5.486,-0.846,1.586,-4.943,86.65,97.557,71.6,1001.507,992.056,1001.125,5.65,10.8,761.875,127.5,19.0,0.0,0.0,0.138,3.5,6.0,6.0,6.0,6.0,6.0,1.0,6.0,6.0,6.0,6.0,,6.0,1.0,1006.0,1006.0,87.038,207.165,15.132,79.427,13.5,8
2013-01-23,124.819,165.475,80.119,1.54,2.212,1.05,-1.014,-0.243,-1.771,0.714,1.257,0.271,82.037,88.229,76.871,1007.703,998.25,1007.229,7.442,9.6,659.688,332.5,18.0,0.0,0.0,0.05,2.0,6.0,6.0,6.0,6.0,6.0,1.0,6.0,6.0,6.0,6.0,,6.0,1.0,6.0,6.0,124.819,165.475,80.119,71.71,13.0,8
2013-01-24,136.524,215.301,67.129,1.095,1.712,0.338,-1.956,-0.7,-3.312,0.014,0.362,-0.788,79.735,89.762,69.088,1016.506,1006.936,1016.062,5.25,9.4,1186.667,482.5,,0.0,0.0,0.0,0.0,6.0,6.0,6.0,6.0,6.0,1.0,6.0,6.0,6.0,,,6.0,1.0,6.0,6.0,136.524,215.301,67.129,53.15,12.5,8
2013-01-25,145.654,207.615,84.017,0.882,2.612,-0.925,-2.404,0.25,-3.812,-0.296,1.675,-1.725,77.789,87.088,68.762,1014.462,1004.915,1013.771,6.5,11.2,1666.667,725.0,22.5,0.0,0.0,0.062,0.0,6.0,6.0,6.0,6.0,6.0,1.0,6.0,6.0,6.0,6.0,,6.0,1.0,6.0,6.0,145.654,207.615,84.017,156.489,12.5,8
2013-01-26,128.786,284.205,36.434,4.672,7.088,2.025,2.448,5.138,0.838,3.765,6.138,1.6,85.959,95.262,71.825,1006.476,997.139,1005.875,8.875,13.6,1410.417,486.667,25.0,0.0,0.512,2.05,,6.0,6.0,6.0,6.0,6.0,1.0,6.0,6.0,6.0,6.0,,6.0,1.0,,6.0,128.786,284.205,36.434,221.834,6.5,8
2013-01-27,244.761,513.745,83.28,7.779,9.762,4.875,3.815,8.25,0.413,6.129,9.038,3.562,77.143,92.475,55.662,997.936,988.769,997.25,14.867,21.2,1977.778,700.0,33.0,0.0,0.612,1.838,,6.0,6.0,6.0,6.0,6.0,1.0,6.0,6.0,6.0,6.0,,6.0,1.0,,6.0,244.761,513.745,83.28,235.321,2.0,8
2013-01-28,145.821,250.98,67.264,5.842,9.55,2.238,3.413,7.6,0.55,4.832,8.425,1.625,84.616,93.275,75.9,1005.542,996.258,1004.792,10.783,18.2,2108.373,625.0,33.0,0.0,0.1,0.75,,6.0,6.0,6.0,6.0,6.0,1.0,6.0,6.0,6.0,6.0,,6.0,1.0,,6.0,145.821,250.98,67.264,216.968,1.5,8
2013-01-29,133.311,278.239,49.887,11.261,12.8,9.3,9.686,11.1,6.95,10.465,11.812,8.825,90.217,95.9,78.4,1003.356,994.26,1002.708,12.342,17.4,1741.875,550.0,30.5,0.0,0.0,0.0,,6.0,6.0,6.0,6.0,6.0,1.0,6.0,6.0,6.0,6.0,,6.0,1.0,,6.0,133.311,278.239,49.887,225.17,2.0,8
